lat,lon,aqi,uid,pm10,fold
35.614526,127.286329,55,11362,34,2
35.568445,126.845886,57,1804,40,4
36.58667,128.18591,87,12973,54,2
34.0730659,131.7638085,34,2067,15,4
35.2258303611,128.50325827,80,13545,35,2
37.6104714,126.9335038,72,1688,35,3
37.1146,127.6297,80,11484,52,5
37.316703,126.82792,82,4503,40,1
35.959167,126.596692,82,13967,49,5
37.1965,127.1194,107,11345,39,4
37.296107,126.87234,80,3955,36,1
34.369573,131.1841113,50,2064,10,2
35.566062,128.157584,50,12558,21,4
37.0,128.1675,57,13249,32,3
37.007863,127.279856,80,1707,56,2
34.4047159,131.4006127,34,2058,14,3
35.154972,128.689578,65,1787,37,3
36.8075573,127.789237,57,11497,22,3
37.5278,126.7967,74,1702,44,4
37.546111,126.730278,76,1723,38,3
34.974543611,128.324369805,59,11508,40,5
35.0619768,126.5225907,46,11514,26,4
37.460709,126.631266,119,13043,71,3
35.673703,127.270625,61,13559,25,4
37.350901,127.352363,59,13533,50,4
35.105555,128.925833,74,13516,36,2
35.182668,129.118136,68,12955,35,5
35.869104,128.711016,82,4001,42,1
35.864922,128.457164,76,11501,41,3
37.449722,126.724167,78,3971,44,2
37.452386,126.908333,85,1674,36,1
38.1063175,127.7080039,65,11487,34,5
35.315748,128.253757,57,12555,24,5
35.9482858,126.9575991,72,5532,50,1
37.3607189,128.3889413,38,10462,29,1
37.4898188,127.9828934,50,11361,26,5
36.151209,128.449875,157,1778,72,5
35.20413,126.8072,63,4034,30,2
34.771956,126.391513,89,13566,50,4
36.41488,126.94505,124,13519,52,4
36.839,126.46087,63,12946,38,2
37.567014,127.186023,-,13535,37,5
37.5203,126.7737,147,3939,68,2
35.1595454,126.8526012,72,5510,34,3
35.8242238,127.1479532,91,5533,33,1
36.353251,126.589768,68,9551,37,1
37.609158,127.163109,80,12990,59,5
35.9668107,129.4086805,-,12562,53,2
34.850083,127.731933,72,1792,24,3
37.211479,126.824001,97,3970,56,4
35.643167,127.9105,63,4515,34,1
36.323889,127.418333,76,4526,47,2
35.851205,128.51153,104,9544,54,2
37.145137,128.220664,61,1745,46,2
36.68121,127.19634,57,14884,30,2
37.580842,127.226766,61,13538,37,2
34.7603737,127.6622221,63,5530,28,4
35.93937,126.74836,78,13007,45,1
36.987924,128.364813,50,12953,21,4
37.433169,127.164372,59,3942,37,5
35.12322,126.76867,61,12970,49,5
35.797189,127.434893,11,10461,73,1
37.698672,127.204729,57,1709,37,2
37.640887,126.490972,89,12553,53,5
36.125022,127.096762,72,13247,40,5
36.782917,127.0145,82,1738,42,5
37.545089,127.136806,85,1668,39,4
36.792185,127.587032,63,10477,39,2
37.382084,126.654663,102,10480,52,4
37.8309,126.833,68,12995,36,3
35.867398,127.117517,68,11337,40,3
36.883435,127.207376,97,10466,56,3
37.617315,127.07512,76,4499,44,1
36.780177,126.455459,32,3980,33,4
35.43445,129.30651,72,1766,33,2
37.012575,126.426621,147,13517,65,2
36.592906,127.292253,95,9009,48,1
37.496975,127.486659,65,12998,28,1
37.494835,126.563919,82,13553,49,3
36.993588,126.358971,87,1737,58,1
36.564207,128.728086,63,1780,38,2
37.562821,126.826071,72,4493,45,3
35.2460177,129.2116801,63,1751,39,3
36.130742,128.32579,85,4004,44,4
35.9174536,128.2902229,72,12974,37,2
37.360494,128.12555,87,4534,45,2
36.6313584,127.3294723,85,11500,42,4
37.905689,127.72601,59,12977,36,2
35.94904,126.58341,93,13003,72,1
37.0010225,127.1724925,102,12985,47,4
34.685678,127.597412,61,11346,26,2
35.202364,128.807221,55,4011,35,2
36.229272,126.080791,34,13520,17,5
37.283798,127.010472,80,3947,30,5
37.2832583,127.4866839,85,12984,53,2
37.3715,127.5845,82,12983,35,2
37.492107,126.983245,82,4495,40,4
36.428917,128.157757,72,10451,30,2
35.6971,126.55916,76,9555,36,2
37.482874,126.704943,99,4539,50,3
37.1725568,128.4551652,63,11485,26,2
36.8924141,128.7316017,72,14007,33,3
36.634423,127.447045,134,4528,51,3
35.066944,127.751389,53,1788,12,3
35.64988,128.70616,57,12972,27,5
37.452158,126.884909,78,1695,48,5
