station,x,y
Ewha Womans Univ.,126.9458346,37.5567733
Ahyeon,126.9561209,37.5574309
Dongnimmun,126.9578361,37.5745584
Gongdeok,126.9508061,37.5436538
Daeheung,126.9423451,37.5476992
Mapo,126.9459929,37.5396369
Namseong,126.9718936,37.4843545
Gyeongbokgung,126.973629,37.5757924
Junggok,127.0845155,37.5663055
Jangseungbaegi,126.9392793,37.5050172
Noryangjin,126.9415727,37.5136137
Hongik Univ.,126.9256952,37.5582622
Beotigogae,127.0065879,37.5482323
Guui,127.0862214,37.5371676
Myeonmok,127.0876041,37.5884004
Sagajeong,127.0884106,37.5806971
Achasan,127.0897955,37.5516981
Sillim,126.9296105,37.4846585
Yeouinaru,126.9325288,37.5268526
Saetgang,126.928282,37.517362
Dongjak,126.9803481,37.5031081
Sinyongsan,126.9678569,37.5291744
Naebang,126.9935544,37.4876455
Hwaseo,126.9896135,37.2839144
Seocho,127.007681,37.4917747
Janghang,126.7153815,36.0400309
Muakjae,126.9503501,37.5823172
Gunja,127.0795575,37.5572448
Woninjae,126.6865914,37.4131241
Euljiro 4(sa)-ga,126.9981685,37.5666425
Gwanghwamun,126.9769026,37.5716162
Wonsi,126.7867849,37.3025572
Jonggak,126.9831831,37.5701745
Euljiro 1(il)-ga,126.9826171,37.5659494
Chungjeongno,126.9629108,37.5593715
Water Park,126.434173,37.4292981
Terminal 2,126.4358904,37.4661319
Concourse,126.4449946,37.4558762
Long Term Parking,126.4555716,37.4439313
Sindaebangsamgeori,126.9282246,37.499706
Boramae,126.9203764,37.4999284
Soongsil Univ.,126.9541334,37.4956862
Nakseongdae,126.9634876,37.4770623
Gwanaksan,126.945328,37.4687357
Bangbae,126.9977072,37.4814662
Gwacheon,126.9969576,37.4330744
Incheon Int'l Airport Terminal 1,126.4527808,37.447159
NA,126.5947591,36.3155876
Sinseong,126.6624096,36.5679864
Guro Digital Complex,126.9015916,37.4852761
Sangnoksu,126.8667779,37.3028126
Hanyang Univ. at Ansan,126.8536143,37.3097347
Jupo,126.571563,36.410559
Cheongso,126.5907764,36.4456785
Pangyo,126.6794253,36.1554157
Wondu (Closed),126.5936274,36.1683746
NA,126.6067347,36.2359262
Gwangcheon,126.622414,36.50176
Sinwon,127.3727035,37.5259709
Yangsu,127.329015,37.5460245
Ungilsan,127.3098747,37.5547878
Hanam Geomdansan,127.2235329,37.5397035
Paldang,127.243806,37.5474851
Sindundoyechon,127.405293,37.3155483
Bopyeong,127.2185139,37.2588835
Dongcheon,127.1028283,37.338098
NA,127.1091598,37.3494279
Jeongja,127.1084366,37.3666515
Gwanggyo Jungang,127.0515351,37.2885522
Seongbok,127.0803769,37.3134999
NA,128.7221084,37.4728673
Munjeong,127.1225184,37.4858358
Mokhaeng,127.932717,37.016701
Daechi,127.0631933,37.4944743
Hangnyeoul,127.0698841,37.4964975
Dogyeong-ri,129.1158164,37.4421437
Nambu Bus Terminal,127.0163445,37.484943
Jangnak Station (Closed),128.231558,37.158049
Migeum,127.1088905,37.3499776
Seryu,127.0137222,37.2441147
Yangjae,127.0348488,37.4837051
Gwanggyo,127.0442808,37.3021094
NA,128.7126832,37.3217574
Cheonggyesan,127.0546427,37.4483106
Yangjae Citizen's Forest,127.0384772,37.4697097
Seokbul,127.6549407,37.4599748
Ilsin,127.6890047,37.4453582
Imae,127.1282395,37.3953023
National Police Hospital,127.1239038,37.495401
Gimnyangjang,127.1986306,37.2372568
Myongji Univ.,127.1903475,37.2379656
Obin,127.4738918,37.5061587
Moran,127.1291547,37.4337388
Cheonho,127.1234021,37.5385225
Gwangnaru,127.103527,37.5453014
Amsa,127.1275385,37.5501059
Gil-dong,127.1402049,37.5383683
Gubeundari,127.1429622,37.5456375
Myeongil,127.1440847,37.5519533
Sangil-dong,127.1667789,37.5567762
Misa,127.192822,37.5630546
Gongjeon,128.0779588,37.1014145
Mukhohang,129.112032,37.539852
Gaerong,127.1348432,37.4980749
Macheon,127.1527241,37.4949531
Ssangnyong,128.3286805,37.1742252
Gyeonggi Gwangju,127.2532479,37.3989287
Sinheung,127.1476641,37.4410027
Namhansanseong,127.1598132,37.4515531
Paradise City,126.4599193,37.4370969
Incheon Int'l Airport Terminal 1,126.4525499,37.4473215
Yangdong,127.7547601,37.4202671
NA,128.4496819,37.1706749
Ipseongni,128.2983291,37.1986389
Sangdo,126.9476726,37.503216
Beomgye,126.95091,37.3899129
Jeungpyeong,127.583969,36.778052
Ganggyeong,127.0172715,36.1548371
Dalcheon,127.8798899,36.9607032
Eumseong,127.7039449,36.9257112
Soi,127.7564938,36.9226595
Judeok,127.8028376,36.9731205
Doan,127.613816,36.814051
Cheonwang,126.8389218,37.4863668
Sosa,126.7950167,37.4829985
Gyeongin Nat'l Univ. of Education,126.7226027,37.5384076
Gajeong,126.6753212,37.5247194
Asiad Stadium,126.6771005,37.5515881
Geomam,126.6755711,37.568749
Namwirye,127.1392162,37.4627715
Sanseong,127.1499333,37.4568677
Hanam City Hall (Deokpung·Sinjang),127.2067037,37.5417742
Gujeolli,128.7269867,37.5166348
Wonju,127.9228206,37.3164083
Gangbyeon,127.0947415,37.5351109
Ogeum,127.1281525,37.5019815
Songpa,127.1121822,37.4997247
Manjong,127.8931116,37.353949
Jangji,127.126067,37.4788881
Wondeok,127.5468697,37.4687663
Banpo,127.0116346,37.5081748
Express Bus Terminal,127.0049777,37.5050827
Wolbae,128.5304099,35.8161558
Daemyeong,128.5651714,35.8392727
Songhyeon,128.5516012,35.8308783
Seobu Bus Terminal,128.5571784,35.8369592
Hyeonchungno,128.5813317,35.8408999
Sangin,128.537845,35.8189463
Jungangno,128.5940332,35.8709671
Seolhwa·Myeonggok,128.4893298,35.7986829
Banwoldang,128.5933423,35.8641025
Myeongdeok,128.5907942,35.8572254
Gunbuk,128.3519909,35.2522152
Seoul Nat'l Univ. of Education,127.0137025,37.4936592
Sinjung-dong,126.7762325,37.5030388
Yeokgok,126.8118113,37.4852186
Kkachiul,126.8113842,37.5062407
Gangil,127.1757633,37.5574822
Jamwon,127.0111504,37.5127513
