EA_CODE,ndvimin,ndvimax,ndvimean
10204058,3247.661376953125,6719.9150390625,5195.937656947544
10204056,4056.53515625,7672.30615234375,6149.806570870535
10204053,3500.7138671875,8133.83935546875,6069.558680943081
10204052,2919.19140625,7500.76171875,5404.719464983259
10204051,3032.042236328125,8085.98828125,5835.528285435268
10204047,3195.867919921875,7715.634765625,5760.417445591518
10204044,2800.16357421875,7041.2724609375,5152.2493896484375
10204045,3194.804931640625,7246.46533203125,5539.415300641741
10204046,3598.782470703125,7416.79931640625,5711.954258510044
10204055,3333.005126953125,7858.20947265625,5965.778407505581
10204048,3187.603759765625,7433.2109375,5473.559221540178
10204050,3236.559814453125,7536.1328125,5614.601004464285
10204043,3329.06201171875,7762.59033203125,5524.463518415178
10204042,3595.738037109375,7830.45947265625,5482.071219308035
10204049,3405.700927734375,7557.35498046875,5531.913556780134
10204041,4394.0361328125,8053.90234375,5844.483607700893
10204028,4165.72119140625,7267.8603515625,5331.193882533482
10204027,3318.32275390625,6550.9521484375,5102.527099609375
10204808,3233.71533203125,6528.11962890625,5026.660086495535
10204809,2977.916259765625,6366.9462890625,4766.609130859375
10204810,2987.639404296875,6547.04443359375,4927.118094308035
10204014,3639.748779296875,7215.32861328125,5630.102556501116
10204013,3686.940185546875,7410.71630859375,5758.934814453125
10204012,3777.80908203125,7293.26611328125,5722.446079799107
10204010,3597.2890625,8461.6669921875,6240.995570591518
10204008,3538.624755859375,7052.31005859375,5413.557146344866
10204011,3559.890625,7743.7001953125,5893.308977399553
10204009,3086.835693359375,7652.22900390625,5496.910243443081
10204007,2891.24951171875,7536.59765625,5174.760672433035
10204006,2798.005615234375,7739.75537109375,5147.988351004464
10204005,2770.152587890625,7835.14013671875,5083.810145786831
10204001,2990.365966796875,7001.95068359375,4993.245535714285
10204004,3050.882568359375,6442.072265625,4888.681431361607
10204003,2924.22509765625,6954.451171875,5011.194859095982
10204002,3258.6611328125,7646.361328125,5336.505388532366
10204020,2781.857666015625,6793.9970703125,4819.894775390625
10204018,2796.828369140625,6786.92724609375,4808.7371826171875
10204019,2726.852294921875,6896.15478515625,4776.557059151785
10204037,3064.353271484375,7219.69677734375,5201.348789760044
10204036,2912.16357421875,7076.412109375,5157.294520786831
10204035,3094.034912109375,7365.82958984375,5377.638567243303
10204040,3047.579833984375,7081.68896484375,5165.948486328125
10204038,3858.690673828125,7354.3994140625,5397.32746233259
10204039,2717.409912109375,6852.27685546875,4806.986188616072
10204033,2945.469970703125,6575.7060546875,4904.240792410715
10204034,3323.337890625,7264.16748046875,5453.474661690849
10204031,3433.982666015625,6956.41552734375,5304.325334821428
10204029,3630.97216796875,6922.37060546875,5302.428431919643
10204026,3619.533203125,6993.97900390625,5405.760027204241
10204030,3240.923828125,6462.052734375,4953.2425537109375
10204016,3460.3818359375,7230.552734375,5546.640119280134
10204015,3172.290283203125,6838.70458984375,5194.282435825893
10204017,3122.14208984375,6799.03955078125,5117.199724469866
10204021,2958.957763671875,6650.27294921875,4799.506452287947
10204025,3294.021240234375,6718.7099609375,5010.766863141741
10204024,3172.0654296875,6481.7431640625,4902.278669084822
10204022,4201.31494140625,7823.28466796875,5752.362409319197
10204023,2909.76513671875,6406.103515625,4723.385550362723
10204054,3255.322998046875,7941.4970703125,5970.267874581474
10204803,3071.9130859375,7363.70654296875,5128.459211077009
10204802,3161.01904296875,7728.021484375,5560.028023856027
10204801,3567.836669921875,7742.13037109375,5703.829049246652
10204804,3539.335693359375,7961.9296875,5695.867117745535
10204806,3388.004150390625,6895.42529296875,5462.976004464285
10205901,2409.802490234375,6043.16455078125,4049.36083984375
10205801,2500.612060546875,6675.2890625,4442.654105050223
10205802,2414.3798828125,6646.22021484375,4374.145228794643
10205001,2648.697021484375,6694.99560546875,4475.897112165178
10205002,2140.9375,5840.1513671875,3850.9093191964284
10205003,2260.9619140625,5514.0595703125,3678.527413504464
10205014,2468.64892578125,5886.77978515625,4142.820452008928
10205015,2586.651611328125,6287.7880859375,4507.760689871652
10205017,2914.691162109375,6972.91455078125,4885.406162806919
10205004,2620.561279296875,5872.13330078125,4175.733189174107
10205005,2506.048583984375,6356.09765625,4252.02947126116
10205008,3094.53173828125,7459.91455078125,5209.054635184152
10205009,2917.85107421875,7041.9541015625,4928.063563755581
10205031,2779.6328125,6618.1171875,4662.245169503348
10205006,2667.83837890625,6538.21826171875,4501.438616071428
10205013,2544.041748046875,5866.11083984375,4069.286551339286
10205018,2795.3857421875,6804.3916015625,4577.600359235491
10205020,2739.541259765625,7281.44970703125,4785.1788330078125
10205021,2516.375244140625,7624.11376953125,4860.939679827009
10205019,2588.201416015625,6756.33740234375,4417.404331752232
10205022,2723.74560546875,7114.78466796875,4664.43293108259
10205026,2925.567626953125,6893.4560546875,4943.756452287947
10205025,2491.369384765625,6481.32177734375,4405.672886439732
10205016,2738.8798828125,6452.3505859375,4450.810529436384
10205023,2393.507568359375,6413.857421875,4177.372297014509
10205012,2431.550048828125,6144.23046875,4073.896153041295
10205044,3409.654541015625,7354.8505859375,5577.223545619419
10205042,3618.0498046875,7514.95947265625,5321.09423828125
10205040,2911.499267578125,7221.564453125,5014.028041294643
10205043,2784.83251953125,7100.330078125,5050.172572544643
10205041,2922.57373046875,7487.45556640625,5261.363176618303
10205039,2552.686279296875,6803.57177734375,4623.317470005581
10205038,2850.25146484375,7477.7587890625,5110.549246651785
10205032,2753.364013671875,6733.7578125,4683.286673409598
10205007,2909.33349609375,7021.931640625,4815.691859654018
10205010,2964.25634765625,7274.95751953125,5073.753313337053
10205011,2561.3974609375,6521.328125,4360.533499581473
10205024,2302.859130859375,6407.8125,4175.764107840402
10205027,2809.70703125,7262.14453125,5038.27458844866
10205028,3325.6279296875,6991.89013671875,5151.038051060268
10205030,2709.0029296875,6937.51513671875,4858.668666294643
10205029,2522.119873046875,6745.31396484375,4659.263584681919
10205037,2832.2158203125,7195.3056640625,4942.185546875
10205035,3018.68798828125,6886.42578125,4858.024501255581
10205036,2645.135986328125,6803.0439453125,4642.034075055803
10205033,2583.73583984375,6268.86962890625,4473.528424944197
10205034,2747.49267578125,5723.84716796875,4249.372645786831
10202005,4750.25634765625,7766.69775390625,6674.584681919643
10202803,4365.79638671875,7646.07763671875,5589.056535993303
10202029,3279.978271484375,6584.6884765625,4610.2235107421875
10202028,3125.1748046875,6711.228515625,4446.713396344866
10202026,2879.880859375,6834.84228515625,4332.959524972098
10202021,3635.680908203125,7237.2080078125,5088.556256975447
10202018,4303.80517578125,7169.265625,5151.65216936384
10202027,3802.3603515625,6470.49072265625,4767.141078404018
10202019,4014.776611328125,6493.58544921875,4911.526925223215
10202025,4048.596435546875,7396.78466796875,5719.252197265625
10202024,4261.1064453125,7769.89794921875,6014.577253069197
10202023,4432.45947265625,7949.59228515625,6300.829799107143
10202016,4824.01220703125,7928.14404296875,6594.408796037947
10202022,4367.10498046875,7878.1318359375,6145.932582310268
10202020,3486.935302734375,7486.91259765625,5116.074672154018
10202014,5131.5625,7527.265625,6143.708600725447
10202017,4023.798095703125,7982.74853515625,5399.010881696428
10202801,5245.73291015625,7709.19189453125,6466.982003348215
10202802,4706.89208984375,7317.072265625,5908.845249720982
10202001,3699.802490234375,7654.73046875,6366.573974609375
10202015,5393.80810546875,7642.3505859375,6680.849888392857
10202013,4496.994140625,7576.06396484375,5786.804931640625
10202003,4015.075927734375,7964.2138671875,6432.425397600447
10202002,4186.51025390625,7579.9560546875,6387.021623883928
10202004,4689.07763671875,7751.27880859375,6637.856689453125
10202012,5295.3642578125,7664.77685546875,6565.266566685268
10202011,5318.337890625,7681.92919921875,6759.38654436384
10202006,4537.24658203125,7828.83447265625,6481.71533203125
10202010,4311.4453125,7447.37939453125,5863.667375837053
10202007,4542.9599609375,7699.1416015625,6307.937116350447
10202009,3557.606201171875,6939.54638671875,5330.365862165178
10202008,4616.2763671875,7803.240234375,6196.00048828125
10203067,2826.40673828125,7438.134765625,5101.904715401785
10203801,3008.35107421875,6558.2958984375,4701.3560791015625
10203903,2746.28173828125,6453.677734375,4434.3353271484375
10203902,2866.490234375,7476.24853515625,4905.245064871652
10203904,2503.313232421875,6366.32080078125,4333.2515869140625
10203112,2662.8974609375,6001.44921875,4312.166887555803
10203105,3095.830810546875,6576.515625,4828.812168666294
10203106,2737.7412109375,6480.10400390625,4461.00617327009
10203101,2930.5849609375,6410.130859375,4517.872837611607
10203102,3473.827880859375,6775.8203125,4994.42724609375
10203100,2766.18310546875,5991.97021484375,4295.961094447544
10203015,3321.53076171875,7688.1767578125,5813.204398018974
10203111,2728.302978515625,7349.818359375,4702.154802594866
10203108,3094.6767578125,7709.9794921875,5354.582536969866
