EA_CODE,month,NDVI
10501043,11,2755.2060546875
10501043,12,2972.061279296875
10501044,1,5413.43408203125
10501044,2,6715.9091796875
10501044,3,6488.61767578125
10501044,4,6113.59326171875
10501044,5,5519.43359375
10501044,6,4218.84619140625
10501044,7,3746.3603515625
10501044,8,3294.0576171875
10501044,9,2921.525146484375
10501044,10,3019.930419921875
10501044,11,3015.299072265625
10501044,12,3066.29248046875
10501042,1,4915.966796875
10501042,2,6620.31982421875
10501042,3,6163.29638671875
10501042,4,5884.2529296875
10501042,5,5232.365234375
10501042,6,4124.68212890625
10501042,7,3558.875732421875
10501042,8,3166.432861328125
10501042,9,2863.087158203125
10501042,10,2785.2978515625
10501042,11,2684.270263671875
10501042,12,3001.378662109375
10501001,1,4930.90234375
10501001,2,6418.48388671875
10501001,3,6495.30712890625
10501001,4,6516.66845703125
10501001,5,5765.25048828125
10501001,6,4746.3271484375
10501001,7,4246.42822265625
10501001,8,3861.477783203125
10501001,9,3225.8056640625
10501001,10,3515.01220703125
10501001,11,3458.84814453125
10501001,12,3992.626220703125
10501007,1,5580.4423828125
10501007,2,6140.5283203125
10501007,3,6606.66845703125
10501007,4,6533.5869140625
10501007,5,5975.63037109375
10501007,6,5053.38427734375
10501007,7,4662.83447265625
10501007,8,4206.1513671875
10501007,9,3540.75
10501007,10,3484.614013671875
10501007,11,3329.830322265625
10501007,12,4306.6767578125
10501008,1,4990.09423828125
10501008,2,6531.35888671875
10501008,3,6442.419921875
10501008,4,6360.392578125
10501008,5,5790.4091796875
10501008,6,4741.75
10501008,7,4308.1923828125
10501008,8,3829.16064453125
10501008,9,3305.80810546875
10501008,10,3319.098388671875
10501008,11,3201.029541015625
10501008,12,3548.12890625
10501010,1,4958.59521484375
10501010,2,6284.39404296875
10501010,3,6228.30322265625
10501010,4,6054.0126953125
10501010,5,5156.630859375
10501010,6,4185.30908203125
10501010,7,3634.930908203125
10501010,8,3251.884521484375
10501010,9,2910.914306640625
10501010,10,2961.025146484375
10501010,11,2832.8232421875
10501010,12,3215.935791015625
10501003,1,4652.484375
10501003,2,6201.44287109375
10501003,3,6092.28759765625
10501003,4,6398.93896484375
10501003,5,5509.27734375
10501003,6,4637.1806640625
10501003,7,4123.12060546875
10501003,8,3521.12548828125
10501003,9,3348.179931640625
10501003,10,3406.12353515625
10501003,11,3486.72412109375
10501003,12,3411.921142578125
10501025,1,5348.9765625
10501025,2,6137.26318359375
10501025,3,6398.51611328125
10501025,4,6461.30810546875
10501025,5,5774.2607421875
10501025,6,4817.1357421875
10501025,7,4405.4228515625
10501025,8,3780.235595703125
10501025,9,3428.4970703125
10501025,10,3804.4794921875
10501025,11,3677.294921875
10501025,12,4266.06298828125
10501021,1,5005.28125
10501021,2,6507.3671875
10501021,3,6184.75
10501021,4,6554.60791015625
10501021,5,5506.3896484375
10501021,6,4532.1298828125
10501021,7,4116.48779296875
10501021,8,3547.121826171875
10501021,9,3235.502685546875
10501021,10,3163.233642578125
10501021,11,3311.101318359375
10501021,12,3844.994140625
10501002,1,5118.912109375
10501002,2,6536.8369140625
10501002,3,6723.8857421875
10501002,4,6735.9072265625
10501002,5,5776.90625
10501002,6,4717.3125
10501002,7,4252.7109375
10501002,8,3710.54443359375
10501002,9,3168.0576171875
10501002,10,3252.50830078125
10501002,11,3271.701171875
10501002,12,3418.540283203125
10501004,1,5213.5458984375
10501004,2,6122.78271484375
10501004,3,6434.15576171875
10501004,4,6601.6474609375
10501004,5,5719.37255859375
10501004,6,4893.3974609375
10501004,7,4419.50146484375
10501004,8,3892.22021484375
10501004,9,3559.388671875
10501004,10,3541.681884765625
10501004,11,3548.036865234375
