GEO_ID,NAME,pop,popblack,pophispanic,poor,poorblack,poorhispanic
06001426200,"Census Tract 4262, Alameda County, California",4750,168,275,185,0,9
06001427100,"Census Tract 4271, Alameda County, California",4107,6,866,142,0,8
06001427200,"Census Tract 4272, Alameda County, California",4385,49,800,302,12,64
06001427300,"Census Tract 4273, Alameda County, California",5130,832,524,385,10,68
06001427600,"Census Tract 4276, Alameda County, California",5118,926,614,486,199,74
06001427700,"Census Tract 4277, Alameda County, California",5260,328,716,469,72,0
06001427800,"Census Tract 4278, Alameda County, California",4502,217,474,368,15,160
06001427900,"Census Tract 4279, Alameda County, California",5270,231,863,325,0,256
06001428000,"Census Tract 4280, Alameda County, California",3168,243,531,230,110,27
06001428100,"Census Tract 4281, Alameda County, California",4841,304,499,173,17,0
06001428200,"Census Tract 4282, Alameda County, California",6740,291,825,275,210,0
06001428301,"Census Tract 4283.01, Alameda County, California",7519,345,800,107,0,51
06001428302,"Census Tract 4283.02, Alameda County, California",7780,120,559,342,1,2
06001428400,"Census Tract 4284, Alameda County, California",4267,533,742,551,119,186
06001428500,"Census Tract 4285, Alameda County, California",2968,159,517,370,14,17
06001428600,"Census Tract 4286, Alameda County, California",3425,161,179,307,10,74
06001428700,"Census Tract 4287, Alameda County, California",4193,653,487,757,349,254
06001430101,"Census Tract 4301.01, Alameda County, California",6730,437,533,219,30,1
06001430102,"Census Tract 4301.02, Alameda County, California",2488,33,340,115,0,27
06001430200,"Census Tract 4302, Alameda County, California",7047,181,764,204,66,0
06001430300,"Census Tract 4303, Alameda County, California",3947,26,567,134,0,25
06001430400,"Census Tract 4304, Alameda County, California",2108,35,194,85,0,3
06001430500,"Census Tract 4305, Alameda County, California",5791,1920,894,1241,809,24
06001430600,"Census Tract 4306, Alameda County, California",6692,875,869,486,42,0
06001430700,"Census Tract 4307, Alameda County, California",4096,101,799,263,11,29
06001430800,"Census Tract 4308, Alameda County, California",5390,61,748,567,5,118
06001430900,"Census Tract 4309, Alameda County, California",5202,365,1301,780,27,223
06001431000,"Census Tract 4310, Alameda County, California",2816,400,525,332,69,65
06001431100,"Census Tract 4311, Alameda County, California",3447,634,1093,239,41,54
06001431200,"Census Tract 4312, Alameda County, California",5814,847,1330,329,0,146
06001432100,"Census Tract 4321, Alameda County, California",3584,748,698,148,58,13
06001432200,"Census Tract 4322, Alameda County, California",4100,744,1354,403,39,223
06001432300,"Census Tract 4323, Alameda County, California",4764,560,1325,237,23,0
06001432400,"Census Tract 4324, Alameda County, California",6955,438,3102,549,45,158
06001432501,"Census Tract 4325.01, Alameda County, California",4837,283,1185,306,0,132
06001432502,"Census Tract 4325.02, Alameda County, California",5221,639,1668,308,113,2
06001432601,"Census Tract 4326.01, Alameda County, California",3955,643,969,396,13,125
06001432602,"Census Tract 4326.02, Alameda County, California",3287,810,1032,280,85,37
06001432700,"Census Tract 4327, Alameda County, California",2839,125,368,130,0,18
06001432800,"Census Tract 4328, Alameda County, California",3907,565,866,107,11,43
06001433000,"Census Tract 4330, Alameda County, California",3461,281,591,593,47,27
