GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13097080606,"Census Tract 806.06, Douglas County, Georgia",5116,4036,529,481,463,87
1400000US13097080607,"Census Tract 806.07, Douglas County, Georgia",3818,2107,288,340,98,0
1400000US13097080608,"Census Tract 806.08, Douglas County, Georgia",3262,1164,157,62,62,0
1400000US13099090100,"Census Tract 901, Early County, Georgia",1063,552,106,299,162,64
1400000US13099090200,"Census Tract 902, Early County, Georgia",2828,2047,0,1162,1068,0
1400000US13099090300,"Census Tract 903, Early County, Georgia",1022,296,62,130,95,0
1400000US13099090400,"Census Tract 904, Early County, Georgia",3414,1795,0,918,583,0
1400000US13099090500,"Census Tract 905, Early County, Georgia",1723,421,63,645,155,51
1400000US13101880100,"Census Tract 8801, Echols County, Georgia",1486,140,165,235,8,48
1400000US13101880200,"Census Tract 8802, Echols County, Georgia",2458,0,943,692,0,534
1400000US13103030100,"Census Tract 301, Effingham County, Georgia",3467,386,0,203,20,0
1400000US13103030204,"Census Tract 302.04, Effingham County, Georgia",4852,1859,89,526,408,7
1400000US13103030205,"Census Tract 302.05, Effingham County, Georgia",4338,918,58,288,67,24
1400000US13103030206,"Census Tract 302.06, Effingham County, Georgia",3008,503,135,215,43,0
1400000US13103030207,"Census Tract 302.07, Effingham County, Georgia",2014,186,63,175,0,0
1400000US13103030208,"Census Tract 302.08, Effingham County, Georgia",3701,106,74,96,0,0
1400000US13103030209,"Census Tract 302.09, Effingham County, Georgia",2301,600,35,106,41,35
1400000US13103030301,"Census Tract 303.01, Effingham County, Georgia",7361,483,297,407,0,0
1400000US13103030303,"Census Tract 303.03, Effingham County, Georgia",2404,180,435,389,83,336
1400000US13103030306,"Census Tract 303.06, Effingham County, Georgia",2921,591,0,424,82,0
1400000US13103030307,"Census Tract 303.07, Effingham County, Georgia",5385,1098,563,515,89,89
1400000US13103030308,"Census Tract 303.08, Effingham County, Georgia",4138,566,304,204,65,0
1400000US13103030309,"Census Tract 303.09, Effingham County, Georgia",4092,432,604,266,0,0
1400000US13103030401,"Census Tract 304.01, Effingham County, Georgia",4762,161,242,187,0,0
1400000US13103030403,"Census Tract 304.03, Effingham County, Georgia",4026,187,36,509,0,14
1400000US13103030404,"Census Tract 304.04, Effingham County, Georgia",2832,26,0,20,0,0
1400000US13105000100,"Census Tract 1, Elbert County, Georgia",3590,509,239,836,83,21
1400000US13105000200,"Census Tract 2, Elbert County, Georgia",2607,327,0,304,16,0
1400000US13105000300,"Census Tract 3, Elbert County, Georgia",3565,1682,226,739,308,139
1400000US13105000400,"Census Tract 4, Elbert County, Georgia",3914,1838,237,1447,986,160
1400000US13105000501,"Census Tract 5.01, Elbert County, Georgia",1649,137,93,293,25,53
1400000US13105000502,"Census Tract 5.02, Elbert County, Georgia",3572,1107,311,1016,329,0
1400000US13107970101,"Census Tract 9701.01, Emanuel County, Georgia",2933,922,9,491,145,6
1400000US13107970102,"Census Tract 9701.02, Emanuel County, Georgia",1644,394,128,476,172,1
1400000US13107970200,"Census Tract 9702, Emanuel County, Georgia",1772,523,14,442,226,0
1400000US13107970300,"Census Tract 9703, Emanuel County, Georgia",4467,2056,397,987,642,0
1400000US13107970401,"Census Tract 9704.01, Emanuel County, Georgia",2738,1938,12,962,688,0
1400000US13107970402,"Census Tract 9704.02, Emanuel County, Georgia",1983,325,271,489,56,0
