code,fclass,province,lon,lat
2082,elementaryschool,Seoul,126.9524174,37.5794592
2501,supermarket,Seoul,126.9524073,37.5793846
2082,highschool,Seoul,126.95233,37.5792988
2082,middleschool,Seoul,126.95216,37.5791224
2082,elementaryschool,Seoul,126.9521178,37.5790743
2082,middleschool,Seoul,126.952096,37.5790494
2082,school,Seoul,126.9516963,37.5785933
2082,school,Seoul,126.951619,37.5785835
2082,elementaryschool,Seoul,126.9513964,37.5786496
2082,middleschool,Seoul,126.9508678,37.5788407
2082,highschool,Seoul,126.9508183,37.5788431
2082,highschool,Seoul,126.9505525,37.5789289
2082,middleschool,Seoul,126.9506297,37.5790391
2082,school,Seoul,127.0680993,37.6527886
2082,school,Seoul,127.0687911,37.6529219
2082,highschool,Seoul,127.068936,37.6529848
2082,elementaryschool,Seoul,127.0691604,37.6531661
2082,elementaryschool,Seoul,127.0692492,37.6532253
2082,highschool,Seoul,127.0692778,37.6531087
2082,highschool,Seoul,127.0694502,37.6524075
2110,hospital,Seoul,127.0695329,37.6521335
2082,elementaryschool,Seoul,127.0695764,37.6519893
2082,school,Seoul,127.0696092,37.6517672
2082,elementaryschool,Seoul,127.0691417,37.6513527
2082,elementaryschool,Seoul,127.0688612,37.6511158
2082,middleschool,Seoul,127.0686135,37.6510048
2082,elementaryschool,Seoul,127.0685574,37.6511454
2082,middleschool,Seoul,127.0681928,37.6523815
2082,school,Seoul,127.0680806,37.652722
2082,elementaryschool,Seoul,127.0680993,37.6527886
2082,middleschool,Seoul,126.9524446,37.5764099
2082,elementaryschool,Seoul,126.9526689,37.5766137
2082,elementaryschool,Seoul,126.9530463,37.5767021
2082,middleschool,Seoul,126.9532537,37.5766976
2082,elementaryschool,Seoul,126.9536828,37.5766773
2082,highschool,Seoul,126.9539641,37.5765805
2082,middleschool,Seoul,126.9542597,37.5763327
2082,middleschool,Seoul,126.9536061,37.575835
2082,elementaryschool,Seoul,126.953518,37.5758237
2082,school,Seoul,126.9532622,37.5756458
2082,middleschool,Seoul,126.9531173,37.5754701
2082,elementaryschool,Seoul,126.9525035,37.5750389
